decision_window_id,timestamp_ms,proposals_received,xapps_involved,conflict_detected,conflict_type,resolution_tier,arbitration_rule,decision_latency_ms,e2sm_rc_action,status
124,24800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,11.97,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
125,25000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.13,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
126,25200,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.91,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
127,25400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.27,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
128,25600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.46,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
129,25800,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.96,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
130,26000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.89,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
131,26200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.54,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
132,26400,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.69,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
133,26600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.83,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
134,26800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.0,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
135,27000,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.83,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
136,27200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.58,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
137,27400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.72,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
138,27600,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.36,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
139,27800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,17.33,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
140,28000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.64,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
141,28200,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.91,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
142,28400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.13,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
143,28600,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.72,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
144,28800,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.84,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
145,29000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.24,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
146,29200,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.3,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
147,29400,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,17.21,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
148,29600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.75,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
149,29800,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,13.8,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
150,30000,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.48,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
